file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00596_0064_362790_to_368831,ད་ལྷ་སྐུ་ནམ་བསྒོམས་རིགས་ཀི་སྟོང་ཉིད་རྟོགས་པའི་གཟུགས་རྣམ་ལྷར་ཤར་བ་བསྒོམ་དགོས་པ་ཡིན་དུས་ཙ་ནས། སྟོང་ཉིད་སྒོམ་ཡ་དེ་དཔེ་ཐོག་མཐར་བར་གསུམ་དུ་གལ་ཆེན་པོ་ཡིན་པ་རེད།  ,da lha sku nam bsgoms rigs ki stong nyid rtogs pa'i gzugs rnam lhar shar ba bsgom dgos pa yin dus tsa nas/_stong nyid sgom ya de dpe thog mthar bar gsum du gal chen po yin pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00596_0064_362790_to_368831.wav,STT_TT,3,156,6.041,wav16k/STT_TT00596_0064_362790_to_368831.wav,ད་ལྷ་སྐུ་ནམ་སྒོམ་རེག་ཀི་སྟོང་ཉིད་རྟོགས་པའི་གཟུང་རྣམ་ལྷར་ཤར་བ་སྒོམ་དགོས་པ་ཡིན་དུས་ཙ་ནས། སྟོང་ཉིད་སྒོམ་ཡ་དེ་དཔེ་ཐོག་མཐའ་ཕར་གསུམ་ད་གལ་ཆེན་པོ་ཡིན་པ་རེད།
STT_TT00533_0002_24087_to_27175,ཚིག་འཇམ་མཐའ་དག་ལ་བརྟེན་ནས་ཕར་ཁྱབ་འགྲོ་གི་རེད་བ། གསུང་བ་འདུས།  ,tshig 'jam mtha' dag la brten nas phar khyab 'gro gi red ba/_gsung ba 'dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00533_0002_24087_to_27175.wav,STT_TT,3,62,3.088,wav16k/STT_TT00533_0002_24087_to_27175.wav,སྲིད་པོན་མཐའ་དག་ལ་དེ་ནས། ཕར་ཆགས་འགྲོ་བ གསང་བ་འདུས་པ།
STT_CS-X-2012-P-D-B05-4-R-01_0294_2576254_to_2583643,ཧཧ་ཧ་ཧ་ཧ། ཀུ་ཅི་དོན་ལྡན། ཁྱོད་བྱེད་རྒྱོ་འདི་ད་ཁོ་བཞག་ག། ཁོ་བཞག་ག། ད་ཁོ་ག་རེ་བྱེད་ཀྱི་འདུག་བལྟ་དགོས།  ,haha ha ha ha/_ku ci don ldan/_khyod byed rgyo 'di da kho bzhag ga/_kho bzhag ga/_da kho ga re byed kyi 'dug blta dgos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2012-P-D-B05-4-R-01_0294_2576254_to_2583643.wav,STT_CS,3,101,7.389,wav16k/STT_CS-X-2012-P-D-B05-4-R-01_0294_2576254_to_2583643.wav,། ཁོ་ྱི་སྡུག་། ྱ་བཞེད་ཀྱི་འདུག ད་ཁོ་བཞག ཁོ་བཞག་ ད་ཁྱོད་ག་རེ་བྱེད་ཀྱི་རེད་བལྟ་དགོ།
STT_TT00536_0426_2833353_to_2837670,ཨེ་ནས། ཁ་བསྒྱུར་བདུན་ལྡན་ཟེར་ནས། ཡོན་ཏན་བདུན་བཤད་ཀི་རེད་ཟེར་ཡ་འདྲ་བོ་དེ་འདྲས་ཅིག་བཤད་ཡོད་རེད།  ,e nas/_kha bsgyur bdun ldan zer nas/_yon tan bdun bshad ki red zer ya 'dra bo de 'dras cig bshad yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00536_0426_2833353_to_2837670.wav,STT_TT,3,95,4.317,wav16k/STT_TT00536_0426_2833353_to_2837670.wav,ཨེ་ནས། ཁ་སྦྱུར་བདུན་ལྡན་ཟེར་ནས། ཡོན་ཏན་བདུན་བཤད་ཀི་རེད་ཟེར་ཡ་འདྲ་བོ། དེ་འདྲའི་ཅིག་བཤད་ཡོད་རེད།
STT_TT00528_0491_3221849_to_3224377,སེམས་བརྟན་པོ་ཡོང་ཡ་ལ་གེགས་དེ་ད་ག་རང་ལ་བྱས་འགྲོ་གི་རེད། ད་རླུང་དེ།  ,sems brtan po yong ya la gegs de da ga rang la byas 'gro gi red/_da rlung de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00528_0491_3221849_to_3224377.wav,STT_TT,3,67,2.528,wav16k/STT_TT00528_0491_3221849_to_3224377.wav,སེམས་བརྟན་པོ་ཡོང་ཡ་ལ་ གལ་དེ་ག་རང་བྱས་འགྲོ་གི་རེད། ད་རླུང་དེ།
STT_TT00531_0155_1354507_to_1357515,ཨོ། ད་མཐོང་རྒྱ་ཧ་ཅང་གི་རྒྱ་ཆེན་པོ་བྱས་མ་ཐུབ་ན་ཡང་།  ,o/_da mthong rgya ha cang gi rgya chen po byas ma thub na yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00531_0155_1354507_to_1357515.wav,STT_TT,3,52,3.008,wav16k/STT_TT00531_0155_1354507_to_1357515.wav,ཨོ་ད། སྲོག་བརྙན་ཧ་ཅང་གིས་རྒྱ་ཆེན་པོ་བྱེད་མ་ཐུབ་ན་ཡང་།
STT_TT00562_0055_322312_to_325605,བླ་མ་གཉེན་ཡོན་ཏན་གྱི་དབྱེན་བྱེད་པ་སྟེ། དཀྲོགས་བྱས་པས་ཟེར་འདུག་གཱ།  ,bla ma gnyen yon tan gyi dbyen byed pa ste/_dkrogs byas pas zer 'dug gA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00562_0055_322312_to_325605.wav,STT_TT,3,67,3.293,wav16k/STT_TT00562_0055_322312_to_325605.wav,ལྷག་མ་ནི་དགེ་འདུན་གྱི་དབྱེན་བྱེད་པ་དེ་གྲོགས་བྱེད་པས་ཟེ་འདུག་ག།
STT_TT00619_0148_1371769_to_1375321,ང་ཚོ་མངོན་པ་མཛོད་ཀི་གཞུང་ནང་ལ་གསུངས་བཞག་པ་དེ་ཚོའི་གྲས་དེ། ད་ང་ཚོས་ཁས་ལེན་ཐབས་ཡོད་མ་རེད།  ,nga tsho mngon pa mdzod ki gzhung nang la gsungs bzhag pa de tsho'i gras de/_da nga tshos khas len thabs yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00619_0148_1371769_to_1375321.wav,STT_TT,3,89,3.552,wav16k/STT_TT00619_0148_1371769_to_1375321.wav,ང་ཚོ་མངོན་པ་མཛོད་ཀི་གཞུང་ནང་ལ་གསུངས་བཞག་པ་དེ་ཚོའི་གྲས་དེ། ད་ང་ཚོས་ཁས་ལེན་ཐུབ་ཡོད་མ་རེད།
STT_TT00612_0228_1848654_to_1850958,ནམ་རྒྱུན་ནས། ང་ཚོས་བཤད་བསྡད་ཀོ་རེད་ལ། ད་དེ་དུས་ནས།  ,nam rgyun nas/_nga tshos bshad bsdad ko red la/_da de dus nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00612_0228_1848654_to_1850958.wav,STT_TT,3,52,2.304,wav16k/STT_TT00612_0228_1848654_to_1850958.wav,ནམ་རྒྱུན་ནས་ང་ཚོས་བཤད་བསྡད་ཀི་ཡོད་རེད་ལ། ད་དེ་དུས་ནས།
STT_CS-X-2012-P-D-B05-4-R-01_0338_3009411_to_3018199,ཞི་མི་དེ་ཚོ་ཁེའུཋྀ་ཚ་བོ་མིན་འདུག ང་ཚོ་ཁེའུཋྀ་ང་ཚོ་ལས་ཁེའུཋྀ་ཡོད་ན་འགྲིག་གི་འདུག་ག། སྤུན་རྒྱ་རེད་འདུག་ཡོད་བ་ཆེན་པོ་ཆགས་འདུག་ག། ཤོག་དང་ང་འགྲིག་སོང་། ཨ་ཅག་འདི་ལ་སྤྲད། ཨ་ནས་ང་འགྲོ་ཡག་ཡིན།  ,zhi mi de tsho khe'uTh-i tsha bo min 'dug_nga tsho khe'uTh-i nga tsho las khe'uTh-i yod na 'grig gi 'dug ga/_spun rgya red 'dug yod ba chen po chags 'dug ga/_shog dang nga 'grig song /_a cag 'di la sprad/_a nas nga 'gro yag yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2012-P-D-B05-4-R-01_0338_3009411_to_3018199.wav,STT_CS,3,185,8.788,wav16k/STT_CS-X-2012-P-D-B05-4-R-01_0338_3009411_to_3018199.wav,བཞི་མི་ཚོ་ཁུའུཋ་ཚ་ཡིད་ད། ང་ཚོ་ད་ཁང་ཚོ་ཁུའུཋྀ་ཚ་སོང་་དི་་་། ཀུན་ཆོག་ཀ་ཡོད་རེད། ཆེན་པོ་ཆགས་དུ་། ཤོག་ད་ང་འགྲིག་སོང་། ཨ་ཅག་འདི་ལ་སྤྲད་ཡགཡིན། ཨ་ནས་ང་འགྲོ་ཡག་ཡིན།
